date;data_mean_global;data_mean_nh;data_mean_sh
1714-08-15;274.322670546261;271.948618352579;276.696722739943
1714-09-15;274.280195955985;272.043758698815;276.516633213155
1714-10-15;275.314107860539;274.149987667476;276.478228053602
1714-11-15;276.315380621277;276.025950872117;276.604810370438
1714-12-15;276.949061819109;277.265243707945;276.632879930273
1715-01-15;277.405672432722;278.084892376051;276.726452489393
1715-02-15;277.784699723057;278.737039957144;276.832359488971
1715-03-15;278.122550605455;279.375494260017;276.869606950894
1715-04-15;278.359091900217;279.906085564777;276.812098235657
1715-05-15;278.299405729055;279.806455555732;276.792355902379
1715-06-15;277.563798268073;278.28920084271;276.838395693436
1715-07-15;275.921247281579;275.005154887969;276.837339675189
1715-08-15;274.315867107089;271.941814913407;276.689919300771
1715-09-15;274.273292410456;272.036855153286;276.509729667626
1715-10-15;275.307212161785;274.143091968722;276.471332354848
1715-11-15;276.308611919387;276.019182170227;276.598041668548
1715-12-15;276.942550461124;277.25873234996;276.626368572288
1716-01-15;277.399559962636;278.078779905965;276.720340019307
1716-02-15;277.77913888182;278.731479115906;276.826798647733
1716-03-15;278.117705330968;279.37064898553;276.864761676407
1716-04-15;278.355135535652;279.902129200212;276.808141871093
1716-05-15;278.296490198687;279.803540025364;276.789440372011
1716-06-15;277.562027882274;278.287430456911;276.836625307637
1716-07-15;275.920677888533;275.004585494923;276.836770282143
1716-08-15;274.316506092797;271.942453899115;276.690558286479
1716-09-15;274.275098698732;272.038661441562;276.511535955902
1716-10-15;275.310096214259;274.145976021196;276.474216407322
1716-11-15;276.312435735502;276.023005986342;276.601865484663
1716-12-15;276.94712757814;277.263309466976;276.630945689304
1717-01-15;277.404655455626;278.083875398955;276.725435512297
1717-02-15;277.78446936367;278.736809597756;276.832129129583
1717-03-15;278.122938952381;279.375882606943;276.86999529782
1717-04-15;278.359894407424;279.906888071984;276.812900742865
1717-05-15;278.300406938412;279.807456765089;276.793357111736
1717-06-15;277.564803440169;278.290206014806;276.839400865532
1717-07-15;275.922084226666;275.005991833056;276.838176620276
1717-08-15;274.316386185088;271.942333991406;276.69043837877
1717-09-15;274.273366530952;272.036929273782;276.509803788122
1717-10-15;275.30673678403;274.142616590967;276.470856977093
1717-11-15;276.307505052298;276.018075303138;276.596934801459
1717-12-15;276.940752663285;277.25693455212;276.624570774449
1718-01-15;277.397034342299;278.076254285628;276.71781439897
1718-02-15;277.775871096898;278.728211330984;276.823530862811
1718-03-15;278.113703589045;279.366647243607;276.860759934484
1718-04-15;278.350431305355;279.897424969915;276.803437640795
1718-05-15;278.291133569532;279.798183396209;276.784083742856
1718-06-15;277.556067616355;278.281470190992;276.830665041718
1718-07-15;275.914158966698;274.998066573088;276.830251360308
1718-08-15;274.309469714645;271.935417520963;276.683521908327
1718-09-15;274.267582282615;272.031145025445;276.504019539785
1718-10-15;275.302133397281;274.138013204218;276.466253590344
1718-11-15;276.304056373519;276.014626624359;276.59348612268
1718-12-15;276.938357745758;277.254539634593;276.622175856922
1719-01-15;277.395517446206;278.074737389535;276.716297502877
1719-02-15;277.774981689325;278.727321923411;276.822641455238
1719-03-15;278.113116343975;279.366059998537;276.860172689414
1719-04-15;278.349746954995;279.896740619555;276.802753290435
